cliente_id,recency,frequency,monetary
305,115,4,14005.26
306,109,2,9615.06
307,28,1,4015.59
308,81,4,10407.19
309,848,2,4360.6900000000005
310,271,2,4421.650000000001
311,458,4,18885.67
312,643,1,3642.5099999999998
313,995,2,1690.11
314,169,5,20339.97
315,200,2,2964.31
317,156,1,4695.780000000001
318,536,1,2100.63
319,900,1,3478.7799999999997
320,249,6,13962.68
321,56,4,13971.36
324,782,1,5265.21
325,271,2,5992.5
326,553,1,2642.04
327,225,3,12401.51
328,720,1,801.4
329,555,3,6754.93
330,367,2,3785.66
331,58,3,4724.48
332,173,4,7790.57
333,476,3,2711.11
335,478,5,17932.54
336,219,5,15387.04
337,25,2,3717.4
339,160,4,9521.32
340,521,4,9661.630000000001
341,476,2,4298.57
342,807,2,5765.12
343,62,5,18461.16
344,36,6,23058.29
345,354,1,5133.13
346,356,5,16476.6
347,840,2,7286.46
348,91,4,18512.190000000002
349,493,2,7397.54
350,899,1,4238.4
352,511,2,8195.37
353,264,2,10086.48
354,56,2,5834.37
355,516,2,3135.89
356,626,2,9666.68
357,194,4,14633.84
358,126,3,6913.62
359,763,3,11759.63
360,76,2,7588.219999999999
361,548,1,5274.04
363,638,1,1169.84
364,121,4,12262.06
365,294,3,8445.71
366,322,5,17376.46
367,180,4,17824.02
368,62,5,13475.01
369,334,4,17095.51
370,10,2,6532.74
371,492,3,12292.74
372,508,3,6318.25
373,137,4,9106.45
374,16,3,10496.35
376,687,2,6183.719999999999
377,77,1,3691.71
378,300,3,8045.27
379,835,2,7561.610000000001
380,429,1,1375.53
381,884,3,11619.33
382,325,2,6837.18
383,322,3,4347.42
384,80,1,3859.9100000000003
385,123,3,7053.8099999999995
386,140,2,6444.3
387,109,4,14738.06
388,15,5,11056.86
389,334,2,898.3100000000001
390,917,1,7149.09
391,112,2,4934.1900000000005
392,91,3,5282.05
393,16,3,5116.35
394,884,1,2686.58
395,812,2,6785.700000000001
396,251,3,9412.19
397,418,4,10691.630000000001
398,326,3,10535.55
399,326,2,7394.34
400,129,4,10359.880000000001
401,766,1,3789.4
402,732,2,5071.4
403,94,3,10080.56
404,456,1,2285.94
405,44,2,8851.369999999999
406,678,2,8935.67
407,242,2,6184.330000000001
408,570,3,8089.4
409,262,3,4165.33
410,448,3,3343.57
411,8,5,18784.08
412,246,2,4002.96
413,164,1,2841.16
414,249,1,760.41
415,413,2,3613.58
416,546,5,15343.27
417,252,6,18340.63
418,342,2,4748.82
419,259,1,189.13
420,278,3,4182.61
421,267,3,10491.92
422,107,3,4576.57
423,195,2,7691.11
424,453,2,5076.87
426,132,3,6292.2
427,801,1,259.18
428,1091,1,1832.88
429,48,4,14102.57
431,81,3,6927.1
432,176,2,5927.63
433,369,2,4901.43
435,819,2,3524.66
436,217,5,9133.95
437,393,3,3243.69
439,187,3,5305.55
441,356,2,6638.3
442,548,3,5265.5
443,242,1,3835.6200000000003
444,532,1,588.03
445,195,3,8391.96
446,308,4,13293.04
447,377,3,12126.61
449,445,2,6700.7
450,135,1,5462.74
451,88,3,10460.49
452,479,1,3021.86
453,18,2,9623.32
454,25,9,14958.630000000001
455,291,1,5303.7
456,1,2,7872.76
457,1058,1,2969.6800000000003
458,542,3,10793.73
459,1000,1,2364.65
460,294,3,4823.41
462,184,4,14759.89
463,82,4,9512.28
464,327,3,13917.24
465,891,1,1707.35
466,643,2,9588.85
467,1017,1,7792.58
468,245,1,1136.53
469,947,2,7576.71
470,145,3,4942.16
471,355,2,6163.83
472,497,3,5426.63
473,740,5,3743.03
474,399,3,12284.46
475,1076,1,6086.450000000001
476,432,1,7050.1
477,136,3,7617.66
478,29,3,14923.84
479,172,3,14321.14
480,94,4,10376.460000000001
481,306,4,5669.38
482,436,5,9086.93
485,168,2,6023.6900000000005
486,478,3,11316.83
487,394,2,7841.87
488,106,4,17803.82
489,233,4,11564.09
490,98,4,19452.34
491,44,5,12847.23
492,615,2,7635.59
493,347,1,115.0
495,77,4,12702.07
496,321,2,4220.03
497,6,6,21129.239999999998
498,663,2,8323.720000000001
499,286,2,5791.4
500,442,2,458.75
